"Date","Year","Quarter","FY","QFY","Month","GDP_KP","GDP_AGR_KP","GDP_AGR_CAC_KP","GDP_AGR_FOC_KP","GDP_AGR_LST_KP","GDP_AGR_ASS_KP","GDP_AGR_FST_KP","GDP_AGR_FSH_KP","GDP_IND_KP","GDP_IND_MIN_KP","GDP_IND_MAN_KP","GDP_IND_ELC_KP","GDP_IND_H2O_KP","GDP_IND_CON_KP","GDP_SER_KP","GDP_SER_WRT_KP","GDP_SER_TRA_KP","GDP_SER_AFS_KP","GDP_SER_ICT_KP","GDP_SER_FIN_KP","GDP_SER_REE_KP","GDP_SER_PST_KP","GDP_SER_ADM_KP","GDP_SER_PAD_KP","GDP_SER_EDU_KP","GDP_SER_HEA_KP","GDP_SER_AER_KP","GDP_SER_OTH_KP","GDP_SER_HHA_KP","GDP_TAX_KP"
2008-07-01,2008,"Q3","2008/09","Q1","July",15766.4033686159,6507.56454177701,399.617945456384,4281.51058045651,645.893511698892,5.26847806022261,631.386326298257,543.887699806744,1445.2869347783,193.409224605736,0,172.106370526297,393.124778031127,686.646561615138,6828.2242745988,1946.84685715878,538.52673596663,478.996026636848,0,377.865215749302,1139.97443351005,0,0,260.740617926907,864.925633386999,585.845802971443,0,457.695454822994,176.807496468842,985.327617461781
2008-10-01,2008,"Q4","2008/09","Q2","October",13927.6324124,4895.31887603896,634.825272125465,2451.02646555589,642.396608790898,2.88872694349394,576.26085382397,587.920948799237,1434.63941492382,102.354635730451,0,180.182514081587,397.788105565235,754.314159546548,6685.44722865798,1763.95573155053,505.820724464462,401.959424808981,0,461.517829563066,1159.777833514,0,0,298.02037246291,842.662324341334,612.335637534013,0,460.888445557892,178.508904860796,912.22689277928
2009-01-01,2009,"Q1","2008/09","Q3","January",14022.6294840939,4423.94518629165,662.450524496294,2018.20655711604,648.879092105453,1.7852486905683,580.949127595825,511.674636287474,1255.23755739064,95.1692657075563,0,194.851575183921,404.793542865946,560.423173633213,7098.18460832107,2195.27271827588,540.409735926694,381.882774139437,0,429.140443073188,1095.8838962493,0,0,340.501969183518,839.929535420867,582.059926348486,0,512.777024624778,180.326585078918,1245.26213209052
2009-04-01,2009,"Q2","2008/09","Q4","April",15998.2344609006,5495.57493897009,513.920096828053,2897.76670442122,652.655706718867,3.82145649207888,878.106003781839,549.304970728036,1878.63570112341,97.1005206152166,0,202.825689860559,409.469954747078,1169.23953590056,7433.04831656111,2348.96638842639,568.69260176539,390.493878717873,0,404.593330111863,1128.89166562104,0,0,418.509388822574,859.920215795795,620.244478103906,0,510.471778304536,182.264590891735,1190.97550424602
2009-07-01,2009,"Q3","2009/10","Q1","July",21078.8819011971,6875.37932033069,405.660789465647,4593.23820091419,651.967669580697,5.24841173796426,669.300303565577,549.963945066609,4840.84465971333,95.0415729075721,3125.58310084003,210.87609620559,415.644023158406,993.699866601724,8219.44139040388,2341.44123799787,595.310894969879,470.488937560084,159.700036421154,354.585141516079,1119.82631656178,308.298528219183,340.552849955257,320.606206793994,861.994179754003,633.159902333191,20.5089647965104,508.600510473062,184.367683051822,1143.21653074922
2009-10-01,2009,"Q4","2009/10","Q2","October",19122.7481501132,5088.84838086277,538.914301188783,2657.03831973087,659.337298815076,2.90837928890853,652.567279606164,578.082802232974,4784.23447230306,102.087370155243,3105.82739939984,208.779592313891,420.683764937574,946.856345496519,8170.53732869118,1947.06114437291,569.001927292047,487.863441186183,229.538607507588,437.069929432641,1181.19056717885,357.310160785413,347.890216507889,353.774737833828,911.928229318275,637.233040271156,17.9051363110513,506.518621256814,186.251569436529,1079.12796825619
2010-01-01,2010,"Q1","2009/10","Q3","January",19608.5586240356,4451.02045125143,452.234247431558,2072.3408545146,669.801623917299,2.01308028433399,696.296276063699,558.334369039932,5112.84141794564,155.115092291545,3506.95046851592,218.747553525236,428.066573505461,803.961730107478,8965.49114572179,1994.12579300911,576.219029632134,469.479940855328,219.268402519032,438.80850260789,1189.27392511154,1055.44948055801,380.379368430772,394.053734238851,902.678988822508,625.207988754306,22.9999426346306,509.68048421,187.865564337674,1079.20560911673
2010-04-01,2010,"Q2","2009/10","Q4","April",20695.6564670713,5461.44560051346,512.118234370257,2919.80310988063,669.838644860912,4.35280512962372,795.527025250121,559.805781021925,5061.31071273726,176.081870542708,3393.29099911266,228.079370684094,436.685416573764,827.173055824033,9084.06814667421,2100.41459014004,598.072669181507,483.006230144632,215.135746141701,457.336996639483,1249.06475029036,980.142292754281,409.578835901996,410.521611377855,820.487613498397,636.298080525575,24.3803919729623,510.428512473813,189.199825631617,1088.83200714639
2010-07-01,2010,"Q3","2010/11","Q1","July",23193.5256367369,7007.55735065213,376.183275990962,4627.96208794876,674.118049718126,5.84032463454942,787.436246411193,536.017365948535,5237.21338374861,206.449529434575,3460.53965875276,233.255163989254,440.784971130683,896.184060441333,9794.46746712549,2164.6411655777,612.366717956708,485.684328051996,245.108063811211,569.854504490089,1266.01335298401,1154.97702742449,448.691448963842,455.766399259767,996.566856291821,658.942288241233,30.0921415151075,515.495093485207,190.26807907231,1154.2874352107
2010-10-01,2010,"Q4","2010/11","Q2","October",21456.6429245184,5267.24513014516,493.318422112618,2687.13054464238,674.758894232541,3.08155910079938,831.645668145402,577.310041911414,5571.06154668387,156.798916988914,3733.49109872677,235.726099816446,446.641323362047,998.404107789695,9376.47528608768,2127.29864572285,607.819833399763,481.148668403993,249.881246575855,472.864750318024,1187.77399286649,918.023927027829,507.598389061468,444.215130818055,953.772937791603,675.815447068757,39.8145499730683,519.166830362062,191.280936697867,1241.86096160166
